Sugarlips`|10:55:56, 11/11/09|<Jenbien> I must use my face now to hold up my body
Sugarlips`|14:28:54,23/09/13|<Award_Formy> I'm pegging Locky here
Sugarlips`|14:28:54,23/09/13|<@AwardShorts> I lied, it'll be like ten minutes. <@AwardShorts> Sorry, nerds. <@AwardShorts> GOING AS FAST AS I CAN <@Award?Pantz> that's what she said
Sugarlips`|14:28:54,23/09/13|<Award_Formy> I'm pegging Locky here <Award_Brian> that sounds dirty
Sugarlips`|14:28:54,23/09/13|<Locky> I actually was thinking of changing it to Night Fury <Shorty> ahaha <Shorty> I'm going to think of my kitty whenever I read that daughter
Sugarlips`|14:28:54,23/09/13|<Rantzien> maybe you should start planning your wedding, Tara  <Phil|Mobile> Cool beans, I'd be down for that.
Sugarlips`|14:28:54,23/09/13|<snacks> bobby IS a steak
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> Phil, I need to tell you something about Tara. <Loony_BoB> Phil: She's ACTUALLY a penis. <Phil> All those skypes! <Phil> I knew something was up
Sugarlips`|14:28:54,23/09/13|<Sheetlebug> in my current game of FF7, Matt requested that Yuffie be <Sheetlebug> I do not know what this means. <Dat_Matt> I am kawaii
Sugarlips`|14:28:54,23/09/13|* Loony_BoB settles on The Only Gay Eskimo
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> Is it getting otter in here, or is it just Frey Frey's birthday?
Sugarlips`|14:28:54,23/09/13|* Phil (Phil@calindora-8qurer.bigpond.net.au) Quit (Quit: I am Testicl̻s, God of rash covered scrotums!!) <WildRaubtier> well i guess now we can ask tara if that's true
Sugarlips`|14:28:54,23/09/13|<Sheetlebug> I actually kinda wanna play Towns
Sugarlips`|14:28:54,23/09/13|<Sam> How is Tara time :D <Phil> It's great Sam :) <Phil> I bought it already >.> <Phil> cheap, too
Sugarlips`|14:28:54,23/09/13|<parker> i wish i was never have been born
Sugarlips`|14:28:54,23/09/13|<Aexoden> Uranus is usually on the bottom
Sugarlips`|14:28:54,23/09/13|<Locky> I love being upside down though.
Sugarlips`|14:28:54,23/09/13|<jake> i've decided that i'm going to try and masturbate to pix of every party leader and the quickest that works for me will get my vote
Sugarlips`|14:28:54,23/09/13|<@Rantzien> I hate when people add quotes without the necessary context that makes them funny <jake> !quote 939 <Sugarlips`> Quote (#939/1044): <Melissaur> Anya
Sugarlips`|14:28:54,23/09/13|<Tasura> Well shit, that puts my little thing to shame
Sugarlips`|14:28:54,23/09/13|<jake> how do you guys pronounce my name? <Formalhaut> Tw-at
Sugarlips`|14:28:54,23/09/13|<Aulayna> I am so full of meat
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> Penis. <Crop> It's alive.
Sugarlips`|14:28:54,23/09/13|<Formy> Have you seen my package yet?
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> No, I kept waiting for Danielle. <~Loony_BoB> She kept being busy or tired or not well or whatever. <~Loony_BoB> So I forced her into it last night.
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> The traditional one is a food of the Gods. <~Loony_BoB> I import it once every year or so and I basically cum all over the flat.
Sugarlips`|14:28:54,23/09/13|<Fujiko> MY NAME IS SARAH NOT SEERAH
Sugarlips`|14:28:54,23/09/13|<Jiro> In a roundabout way you go from snail to escargo to escarcim
Sugarlips`|14:28:54,23/09/13|<@Pike> He has an EoFF giiiiiiiiiirlfriend <Rye> !!! <Cim> she's a ton of places to put a toy
Sugarlips`|14:28:54,23/09/13|<Cim> 6 inches? <Cim> wtf
Sugarlips`|14:28:54,23/09/13|<@Pike|mobile> All I read there was kotora, pussy and shaving <+Jiro> hook us up
Sugarlips`|14:28:54,23/09/13|<noxy|mobile> Yolo * Nicolas dies and floats away
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> this is not a room for the debate of religion <Pike> YEAH BLACKBIRD, GOD
Sugarlips`|14:28:54,23/09/13|<Aulayna> I nay, jusdt may be slightrly tipsy
Sugarlips`|14:28:54,23/09/13|<Jiro> I'm family <Fujiko> Awkward
Sugarlips`|14:28:54,23/09/13|<Jiro> YES <Jiro> YES JUSTIN <Jiro> YES
Sugarlips`|14:28:54,23/09/13|<~Loony_BoB> say it <&mike> dingaling <+Jiro> penis <~Loony_BoB> YESSSS
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> Grotion so long as I'm still waiting in this country
Sugarlips`|14:28:54,23/09/13|<Loony_Bob>  yay, mike is fit~
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> Psychotic scores! <Sam> COME ON BOOBS
Sugarlips`|14:28:54,23/09/13|<Formalhaut> Spooge? What's that?
Sugarlips`|14:28:54,23/09/13|<Loony_BoB> GREAT BIG FIRM YET YIELDING STRAP-ON DILDOS GOING INTO BUTTHOLES
Sugarlips`|14:28:54,23/09/13|<MisterAdequate> I prefer jake's more than rob's tbqh
Sugarlips`|14:28:54,23/09/13|eastside westside genocide
Sugarlips`|14:28:54,23/09/13|<parker> lets not talk at all ever again <parker> yeru, you start plz
Sugarlips`|14:28:54,23/09/13|<WildRaubtier> parker will this do http://imageshack.us/a/img186/3924/1001111ej6.jpg
Sugarlips`|14:28:54,23/09/13|<Formalhaut> you breathe a word of this, to anyone, you mincing fucking CUNT
Sugarlips`|14:28:54,23/09/13|<Locky> I haven't had a quote added for a while. Poo, farts, pee, plop
Sugarlips`|14:28:54,23/09/13|<Iceglow> lmao I'm picturing a girl shitting bubbles now
Sugarlips`|14:28:54,23/09/13|<Formalhaut> Where can I eat a taco? <Formalhaut> That isn't like, awful
Sugarlips`|14:28:54,23/09/13|<Formalhaut> I can only grind for like say, half an hour before I start getting abit restless
Sugarlips`|14:28:54,23/09/13|<parker> I dislike you all intensely
Sugarlips`|14:28:54,23/09/13|<Yar> speaking of cheap dusty things * parker whips out his cock
